lane,lab_id,study,species,#ariba_ref_name,ref_name,gene,var_only,flag,reads,cluster,ref_len,ref_base_assembled,pc_ident,ctg,ctg_len,ctg_cov,known_var,var_type,var_seq_type,known_var_change,has_known_var,ref_ctg_change,ref_ctg_effect,ref_start,ref_end,ref_nt,ctg_start,ctg_end,ctg_nt,smtls_total_depth,smtls_nts,smtls_nts_depth,var_description,free_text
26141_1_228,CAC10R,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_229,CAE10K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_230,CAF10E,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_232,CAC10Q,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,570,catB3,633,442,100,catB3.l6.c4.ctg.1,1525,55.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_236,CAC10S,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_237,CAL101,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_239,CAM100,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_240,CAD110,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,230,catB3,633,442,100,catB3.l15.c4.ctg.1,1385,24.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_241,CAE10W,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_242,CAI100,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,270,catB3,633,442,100,catB3.l15.c4.ctg.1,1427,28.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_243,CAB117,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_244,CAC10H,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,306,catB3,633,442,100,catB3.l15.c4.ctg.1,1581,29.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_246,CAE10A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_247,CAF109,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,320,catB3,633,442,100,catB3.l15.c4.ctg.1,1537,31.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_248,CAE10D,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,188,catB3,633,633,100,catB3.l15.c4.ctg.1,1611,17.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_250,CAB10P,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_251,CAC10A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_252,CAD109,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_253,CAF105,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_254,CAC10E,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,384,catB3,633,442,100,catB3.l6.c4.ctg.1,1537,37.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_255,CAC10D,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,232,catB3,633,442,100,catB3.l15.c4.ctg.1,1388,25.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_256,CAD10B,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,280,catB3,633,633,100,catB3.l15.c4.ctg.1,1584,26.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_257,CAF108,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_258,CAC10J,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,194,catB3,633,442,100,catB3.l15.c30.ctg.1,1641,17.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_259,CAD10H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_260,CAE10C,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_261,CAF10A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_262,CAB10K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_263,CAC107,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_265,CAE105,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_266,CAF103,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_267,CAC109,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,368,catB3,633,442,100,catB3.l15.c4.ctg.1,1224,44.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_268,CAD108,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,302,catB3,633,442,100,catB3.l15.c4.ctg.1,1306,34.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_270,CAC103,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,184,catB3,633,442,100,catB3.l15.c4.ctg.1,1533,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_271,CAD104,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_272,CAF102,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,224,catB3,633,442,100,catB3.l15.c4.ctg.1,1372,24.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_273,CAC102,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,346,catB3,633,442,100,catB3.l15.c4.ctg.1,1433,36.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_274,CAD105,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,276,catB3,633,633,100,catB3.l15.c4.ctg.1,1673,24.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_275,CAC104,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_276,CAD103,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_277,CAB10W,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,276,catB3,633,442,100,catB3.l15.c4.ctg.1,1530,27.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_278,CAC100,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,236,catB3,633,442,100,catB3.l15.c4.ctg.1,1268,27.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_279,CAD101,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,218,catB3,633,442,100,catB3.l15.c4.ctg.1,1510,21.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_280,CAF107,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,248,catB3,633,442,100,catB3.l15.c4.ctg.1,1393,26.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_282,CAE104,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_283,CAE10J,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_284,CAC146,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_285,CAC12C,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,164,catB3,633,442,100,catB3.l15.c4.ctg.1,1208,20.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_286,CAE117,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,140,catB3,633,442,100,catB3.l6.c4.ctg.1,1502,13.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_287,CAL117,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_288,CAL118,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_289,CAL10X,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_290,CAL10Y,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,196,catB3,633,442,100,catB3.l15.c4.ctg.1,1348,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_291,CAB159,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_292,CAC12A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_293,CAM10P,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,160,catB3,633,442,100,catB3.l15.c4.ctg.1,1294,18.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_295,CAD117,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_296,CAD10R,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,164,catB3,633,442,100,catB3.l15.c4.ctg.1,1372,17.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_297,CAC105,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_298,CAD10A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_299,CAC11J,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,258,catB3,633,442,100,catB3.l15.c4.ctg.1,1260,30.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
28099_1_1,CAB161,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_2,CAB16W,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,200,catB3,633,442,100,catB3.l15.c4.ctg.1,1582,19.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_7,CEF191,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,528,68,catB3,633,442,99.77,catB3.l6.c30.ctg.1,1371,7.3,0,.,p,.,0,S61R,NONSYN,181,183,AGT,644,646,CGT,15;15;15,"C,A;G;T","0,13;15;14",.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_10,CAB15Z,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,54,catB3,633,442,100,catB3.l6.c30.ctg.1,1220,6.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
28099_1_11,CAL11J,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_14,CAB15Y,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_18,CAB15M,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_19,CAL11H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_22,CAB15H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_23,CAF11K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_26,CAC11R,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,108,catB3,633,442,100,catB3.l6.c4.ctg.1,1156,13.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_27,CAF11J,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_30,CAC11Q,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,94,catB3,633,442,100,catB3.l15.c4.ctg.1,1138,11.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_31,CAE133,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_34,CAC11P,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_35,CAE131,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_38,CAC11N,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_39,CAD11X,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_41,CAC13I,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,18,catB3,633,242,100,catB3.l15.c4.ctg.1,352,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_42,CAC11K,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,242,catB3,633,442,100,catB3.l6.c30.ctg.1,1662,21.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
28099_1_43,CAC14L,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_46,CAC11H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_47,CAB19C,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_49,CAD10N,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,356,catB3,633,442,100,catB3.l6.c30.ctg.1,1943,27.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
28099_1_50,CAC11G,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28099_1_51,CAB18F,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,384,catB3,633,442,100,catB3.l15.c30.ctg.1,1569,36.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
28099_1_53,CAD13V,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
